"HolderAddress","Balance","PendingBalanceUpdate"
"0x850a805da80bc53ccd244d4f64622f76e06469dd","93,540.082568780650035478","No"
"0x9531c059098e3d194ff87febb587ab07b30b1306","21,866.231631453079899075","No"
"0xcb5766f0f6a507d2df0bb9b7c6a566b7feb65775","15,577.310902429395355284","No"
"0x515edc0327c77cdb7758a14fccaa9abbc069b4c3","15,162.648425375284205074","No"
"0xc54561a39169310fd55e855e1f5ab901f762ca8e","10,525.784798202894307906","No"
"0x9ddecaef09f8d688262dfc0ecaf4a1a252ce1c81","10,092.300878779351722473","No"
"0xd21a12b3fb7e8c622de672e2647627393cd530d4","9,348.527683004966092994","No"
"0xa0eac5d90be5e6346b22895a207d49fbe9711447","8,957.778893779570353217","No"
"0x943672e80419027ccdc7dd4633cd6f1d643db427","7,824.767082663191104075","No"
"0xe0755509d13e1841f640e1f85104b92fa5f4ad76","7,371.86221203058539686","No"
"0x42f061708c5bf0a3a81aade9f02f6471bde8ffcf","7,363.009320518816821277","No"
"0x74ee64a4ddfa2ee504d48a0676b6dc1b693525ae","7,188.176801675035676453","No"
"0x67358646827eaf8c5ac0451d4ee99ae6f10cb875","6,178.736512156094249804","No"
"0x8f3979d7b5c5f209d1dfa0ce6dae7823d5e59763","5,937.412580710714792076","No"
"0xfc8603f8a227c1f433e2dfa0ac89d272d488b144","5,720.473522169299940288","No"
"0x7453275ad8cacf3a44d19bd10e5b6a2832b05fc3","4,865.411495765889412723","No"
"0x34a832bb4e3a56c9e2f2edc6cd2409ab1ddf8600","4,714.221598200827429537","No"
"0x370d72bd11ecbc9535d07c0ca969ccb6b2485f2a","4,474.189160962318965176","No"
"0x16b6c13e2f84c0ec7b0382a8584f2b0a7e64b0f2","3,725.749653161204503803","No"
"0xaf1bff74708098db603e48aaebec1bbae03dcf11","3,669.261665211512889848","No"
"0xc1676bd87a19b10b92950bba52abf07b35a379b7","3,446.000038627305032339","No"
"0x00c0db2b6d538ee7f27536854374d95130c9802d","3,435.993184464953723926","No"
"0x3a3cbd8556d60562d410a5cd1881e95bfcdefe62","2,842.345819285256766307","No"
"0x39ac88bc800c707a0f86aaeddb09494cc4e85189","2,637.85817896242315328","No"
"0x5d8db45344335b2d76ca262b76601daa818d056b","2,348.458869187090840569","No"
"0xbdfb5094e7013d186dfab3f2bd0724cedfcfef6b","2,056.414709257828094135","No"
"0x325409632bccffac706d378a2eca57cafa21ab11","1,793.610793177982714042","No"
"0x933ee631173b862941823b65db83fbf1a438fd22","1,773.15066642723672885","No"
"0x84451132ea748749cfce6ac2c5b705344ef888b9","1,747.315780965384419687","No"
"0x50a354f9edaa453d59ffe1f88096b3b8225e7afe","1,647.154608037448185323","No"
"0x96264bfc66b007a8940e513bb452fdc270522c8c","1,619.84387171629509794","No"
"0x9147291b65252078e9f7c9dd41a66650aeefaa27","1,577.13074370409731273","No"
"0xdb2df8900dc40f3668fc4e3f6e51da2772eda445","1,432.624141448295858936","No"
"0x7547f6c452f8964835339a685dbb5935aac7ffc7","1,413.62117701907504852","No"
"0xb7e4a6995064e952e249c0073cd58084e66b9a4c","1,407.139404064157133689","No"
"0xd5384786885b01d427ec06082f93016ccc99ed58","1,368.536891813307647681","No"
"0x1f692434101f4e4a95e9a525177a7e7ec60dcba6","1,227.845112816422442847","No"
"0x3a94390ea76bef80bdf4c02cc002d0a9c60e29d3","1,204.053477545913714652","No"
"0x6e43c8cff8983d84bd276da23cf2618b60ec6c57","1,190.587073537520836908","No"
"0x3fd03cc0551ba6514cef52f2298c30ebb366ae6d","1,178.99828204349068983","No"
"0xf1376072ae0e2e114ce40a3b43609a46ea99d348","1,164.889197749629829559","No"
"0x774ab75bc5d08f30aa207243a6b32105f1f1820b","1,145.517325718139318269","No"
"0x7092def53deee04c1a48188bdabd2e5cf96330ad","1,039.872165851222462152","No"
"0x03104c9661f97a1a882a797964f46d968d518126","1,033.561541185207488525","No"
"0x84a6a7c0674a3aa03e09c026600cb46181821f07","980.086621477664607482","No"
"0x125c995c8df25134102bbf41f8cfb772c486a74e","965.484692113480491571","No"
"0x3c0fdecf97ab08f6cf1bc03431ff0d016de60c9e","951.246572848374739806","No"
"0x2803c2df4cbfb581b03f5857ebc55c47f549d65a","895.084305813414429531","No"
"0x600ecc799a29a9415c79aa5d0e9d4ac0dc4ca9aa","894.525759195444948091","No"
"0x44941a432ceac89d83c09df22396524f264fd07e","853.784357662192633143","No"
"0x48fb8b4bab194b74cb8af3f97f2df059e534bfdb","850.725550407461923896","No"
"0x2bf8a08f17b6f11b7471656b7142c4e83501ff66","820.636799311128811496","No"
"0x82627e71deb0f0e131df15a3cd5249dc01cdd0ff","808.907257704920198194","No"
"0x706fc1a8e457de0cf52e7679c2922aef7f7a397e","764.422095870070393175","No"
"0xe6a667286fd3a89ba64b9f23fc621f244b53f671","697.461737243800030228","No"
"0x0299c0efefd4425f0dec33a2946d485abcf95812","645.22633096383992779","No"
"0x282ef65dba7af170c17860ab104aaaebc0299033","635.830997322981832145","No"
"0x48580ebf1479918537d3d48dc6de0957488edd24","617.588757188745603344","No"
"0x1115cbfac7fb3757da1fd0c51542313152be7a53","596.224986497981035427","No"
"0x1e5c797a569276bda2ee21750186000e01d2bb5b","595.023294317544241494","No"
"0xe12f8e5309682cdea4a3f7160fbb25d0d111d9b7","593.532543967385890937","No"
"0x870aa098d943382d13b491b50c6b93876eba1eea","579.091373274511056479","No"
"0xac4cafdde0a0bae722d2593178aec3ff3afe0a5b","532.153210366466282721","No"
"0x188715f8b5371e5f8002edb6c9583aed78ebd096","525.619514707144336134","No"
"0x973d01930107a0669e337509bed55ffee84622ea","522.768819706762087662","No"
"0x230c78836bf37700a8d4eb66c6fa094524f3f87c","502.086503313581658858","No"
"0xa54be54160176450c52c185abb2b0f1472b80e6b","501.554503618249896135","No"
"0x334a63ff0b883abce4e41714e257a5773d62c214","499.187304736150451845","No"
"0x50418699cb44bfda9c9afc9b7a0b0d244d8927d2","495.85469454568033143","No"
"0x23e43119ec00a0c4ef466a3fb98f6fa30e9cf038","491.518799108469555026","No"
"0x40cfd614dc9886db7320c70abc7f325347432354","490.85546708455552789","No"
"0x93119ecd9c2acb05658867bca7f1dbb2084de025","480.627983367908257151","No"
"0x19f0c7c7ce47f5a75073c353a3937be70f877159","469.666290164320002987","No"
"0x790b46e6dfe304a95c7c3836ab761b29513ccc59","456.572500037658699057","No"
"0x75e717e55cc26746838c3e2ccc3ccf6b8eb954ec","451.626730079679930441","No"
"0x6611c7a5a6b094f4112822d4173136540042cdab","414.02937876000282813","No"
"0xdb9e70de7256cdc6d9259f6ec611bad480aa3041","405.052116176416632243","No"
"0xc9cbce8afcf5d90fc10e67cbea47fb65ca76e909","381.005872514925329142","No"
"0xfc0ba74e336d5862ba7c037ef85e0c079eb6a3bf","373.309013939772057711","No"
"0x206c3aff8698fd123938882bd77b3555d89fc58c","369.824357149345246398","No"
"0x1542cce4016b32e481502db0772850180ab9f041","348.936195120440743267","No"
"0x4ff0567b3f1374cc5eef90666a078da0c4656dc7","345.953605089134384798","No"
"0x666639de68403c445964453c0fcecb8da4316666","325.96673089175311216","No"
"0xf4ad29e7587e48e6f6410ef6854b354853d1ce4a","316.004128537395899912","No"
"0xc5d4cd3fec6ee1c59a43549bd3fbc8cbc69c0397","302.089066647375148023","No"
"0xe0b6a069c13838aab3e3ced31e5be2726e28c036","294.000007284943378575","No"
"0xef50e150a655878ada37baeefcb887e67713a60d","293.865393664585610622","No"
"0x416e6652922c5a269d248fe459465cd76b635cb8","293.041463807509558137","No"
"0x7bc26a55cb47f4625d33c299ea0d35e69e9249d6","260.2625999261923364","No"
"0x4fc0b3c256e4526e2a80a7a001dd63fd57988077","238.894378869182929748","No"
"0x275d06caf8a5090c0f478ac89e6cfa0777cc8e27","220.307882010911299631","No"
"0x894ea3dc9eb334a4509fc558b44d336efc18731f","214.419609433407941879","No"
"0x6158a9ffe6404eef6a2bdf331feba141f1723587","209.146198915034716492","No"
"0x7799740380cca25809a8778c587d9e3cbc88ac0c","208.80629688166214919","No"
"0xe2e18dc7410a8e3140d81b6ebf00de02de38fa75","200.088565761514739596","No"
"0x5cb84ed824f543e3c232b221daf2e1e5a3f0793d","194.856996002689015768","No"
"0x8c5d1b5678bad20c60bae0a3512f2439541334d6","194.558269870569432669","No"
"0xdcedf06fd33e1d7b6eb4b309f779a0e9d3172e44","182.183234657026019931","No"
"0xd5c08f1dba83bb5752909489ea028f9504076cbc","179.690693361370410497","No"
"0xaf6cdefeb36c0059486c5d4fc127898b7d0a7db1","178.929018490525294283","No"
"0x0e82a044ecd87ca24af3ca59f4b88afde775a5c2","175.953555425872394835","No"
"0x6897f7ac35f10a168b0aa247bac4a82b2987a868","162.417146193733628934","No"
"0x554047d4b0b2b4c3c59d08df9cd86fe0d61966a2","158.367910681446062426","No"
"0x1b032b4f150c12d9d2423341e2d0fb76fa124cfc","155.094201926437165184","No"
"0x3a0971f352312303ceed056b12d542b30cfe9796","148.96743653356509185","No"
"0x4203be4dbcba5a82bdc42e7c25f8473e12533821","148.614335125688455719","No"
"0x9000285ac15c3f5ec120e3d1d03a4b3928cef70c","142.416717345949422224","No"
"0x8225f4a30832362424c5ac7b01717330cc8fbbe0","140.004010733855892568","No"
"0x7100d37385fe7a29debd8f4a76f89ed8a9052f5c","119.276541728245518925","No"
"0x664da7f2c48e9e48e7104e2daca423600cc37b87","119.098379760582631093","No"
"0xd3c3dbc69fcf7b647dd7fe4212a86b0e64c9863e","117.048353400257624912","No"
"0xa7fa91f32cf9e6ee6a4ad6f5060e1fff00b5d86e","102.321746201898733375","No"
"0x1c726d2dbc8f55d275e950306de5fa61da335a89","101.830698835414188775","No"
"0xd2e564b53775145e1e2d7901aa7602badb7df66c","96.51689052808066549","No"
"0xa92101f98102b404473b1e1718295662741daf73","91.348798522440162628","No"
"0x55a2f4ee76f9e34f683ff73827f924866f472a84","89.071461140595686888","No"
"0x3c8d064d43b4cffee79d2127a7b3f3e567c9227d","88.467378907150788336","No"
