HolderAddress,Balance
0xC6ba6BB819f1Be84EFeB2E3f2697AD9818151e5D,31409
0x97ED94bF6dbDD87CDd4845Faf79808318D9AFA8d,22266
0x1AAD84d41A750E6F6fb1736182F30b2c20EB8C43,16321
0x91Eb12839003631e3a1550f0b4B59148bE822dcA,11496
0xd8de8efcfAC16C277F18f7f019D0e8b8c2abbe08,9687
0x291265E3A55fB3F5176bf35db401C96987Fa65c4,8239
0xC73DF1e68FC203F6E4b6270240D6f82A850e8D38,6508
0xa5d5BE9DF1741Bd5DC1ba6991BFA3aDFa13F3ad5,6081
0xA7B452e57DE8a705a23C33001f90e4ADF9004A90,5073
0x7F429edeff8afC7Bb3A2CF7DB832Fc86f6FA99DA,4442
0xbAc44698844f13cF0AF423b19040659b688ef036,4430
0xFbd9275BF42f21B7CB857E6C00FFCB99443718B5,4000
0x83C3c4B58b70067BFb23B7875FEb63241F9e7668,2204
0x34E4451B1Da7615E9897de4896f1645a8ef9eCFc,1013
0x558d3316f33b1b879488B8eeb98C63D8548515eB,692
0x5e6C5421B35211206D42078f7287E12Ed26f8238,552
0x60AD81273C776aea562fAEAa601FFC1680AE929D,509
0xAD1B9F05f9867A48F3aF45906Cf81fd04ba8Fa73,448
0x2dcE97a51d47d502D419C89815C11124413a813F,361
0x243F860894BE3C3f2d6A13378A48d1A382Ee4C47,359
0xEA3a046d503286fAb71CdE3F1bF87DE97930162b,356
0x0Fd2264491e7D7186528280d0d8472A2f1FeB16D,314
0xfA864002bbB38e29750b06F363CD1ef70241948C,283
0x34fc4134Dc4956955164d8f7Ec08d0f78955ac00,242
0x3B3c17072773191820E1b01dE0c9eB8F90Be07F6,157
0xC04Bc1996320f27c0A6018cB370c9469a9Dd3a4C,118
0x22d282Ef5ec088D3dE9D31CC805Fb5A8f0a90Cf7,92
0x8A7c2Bd487288DB07D095c42d00013639781FD2B,91
0x528836082e417D7b839E17a17964694266AA29a5,75
0xB2043c543bb60Fb7AA7265CdcA359A35C4Bc09fa,73
0xbdbed9f2938145b133c48020C8634a8e8864fbf9,69
0x97E51dBcd71A7389a358beBf801a154d0e21ba9B,62
0xE66CC61d0c57CEe9d5d09A6737928BE32CcfeE17,57
0xeDA1Ba3a1cb1205f702816f1c30ea9A916775A5a,54
0xDdC34e3745ADB986a42392cEBFA2C24F72E24D4a,53
0x2B5A01433Df5dC1Be7a70643d9B42e553594a9be,44
0xC83e08964B900F7B9ab03f662B6ff317866835cF,38
0x6a7E4e513ddd1DB44A4dB12284Cf3784c85c2AFE,38
