HolderAddress,Balance
0x68D8108f6FB797e7eb0C8d9524ba08D98BF27Bcb,1309566824055
0x9c972D06EcEee9DC08e2d295742D2045F8e54Fa2,766158881370
0x91Eb12839003631e3a1550f0b4B59148bE822dcA,424484708549
0x86133C621ae2561e3C5B7C9ddBD6eCc12086b271,402022093632
0x6E5866Ca7787b95E1B00A93D7CA03ba06A481580,180000050040
0x7C5288cc13A8e3b8c14fc51d1dcda3ea6ef3FDc1,174538351958
0x8FDe1E8367864e315B33542CC90E1d202c629E46,163489511502
0xaF2a082188aD55993c0FBF1e067c01F27Cc69E1d,149999351467
0x56c58aAFb575ae49D0CF89687D5CfA099BfAdCB6,140666951098
0x01602440213D10820B775a9E23ec840fC8725048,116408210230
0xa79C5621e0C85587068F8e91D3D15488DF6C3c1c,100561639469
0x850AafBDCf42BD7AFA6E0d300F9dF44447945F6f,100000105694
0x5559f138Ae7ad7743CE075a0D66e1b46cA89Cc0a,72768696650
0x4a62536198a234722f11Bc5BfE4367785489D65f,71082295472
0x8c484dc7B854a60695907B83ba0b63a24B5c8887,70000352205
0xcd93c05BA4b2a345106bdDe15B23b100E80F9996,69525823049
0xbda2AD692094B0818a62C8e822Fb04fF67396BaF,68859627684
0x7179e64bD29Cec532308cC9D00Ad4Bd419064a84,63574379606
0x8906B2b1A2bDc52DbAf8939a7F6017FDD178bA69,59953237268
0xf3f6b62940e68a49964f2556Fe5094031feF642d,59201509844
0xdA731BB54d40E9cb389b094Be994eD21CF529150,51708723058
0xb591F8BAe0a83D1B339D9fDCd0EEdDA49610fb6D,51086958021
0x5047AA08a7411E3FdB32d8C57C83D8B40003cBff,50253410800
0xc384F112b84F751bDDc66a4191c27E2b3992226B,45473641385
0x65b75050255BD57a8Bd155F85b91B403C6AA1ee0,44458115968
0x24665E692610A4808377b22A2a3597Dbf472E5E3,41550333746
0x5C120c427aADD217Dbc747CfB960Cae4a20C9127,37192378794
0xB2467f226e693637DeC05388c3D2b1ec448FB192,36060603770
0x98D1A5a125B6b2d758028288287E775EED23a449,32664269446
0x4FD3058eB1834aa48097E66C27eaD05B7F9D015b,32125898537
0x5f76F0D922912a5A1c36254eC087fA94D2925813,31223322188
0x020F64F264ab7e90Ef24a108C379a796a82175dF,30060173793
0xDeEA7465ba904B61b27Ef1FabC6B2Ba691F173B7,28869619695
0xbF0507E155151121B186998db92a48a422756B78,28487408351
0x497EecF3d54601f71DD776eCb1617C88fF63eD06,25000011188
0x72B3b0643822b610AC382975cF2C961D9172A12D,24209047141
0x4CdEEF2B18F93da81705B3AbBEEcCFbD0ae64845,23694024626
0xbDaeE0EDCC7d3F159325c29f7ca2cd3e50967c93,23313792500
0x7A3B5F685B65e36fa64975fE039090Bd50Ff1027,20899194461
0x7F2FCcaf717128Bdf5eFaBd67a8ea9a812D5813e,20574971523
0x6F27f4a743e81D10F081Aa4E41Bd8b341372f681,20069925135
0x6D3Ee34A020e7565e78540C74300218104C8e4a9,20000876194
0xec76D5162BF832F12831Ab118F5dbB58419d76c9,18984764959
0xde7704a4867Bd36C63Bd3171d434e340cF22A7a4,18073023945
0x48D86837194eFDF0c81a2b78bFD0FbE85B544a85,17731428316
0xc81C823C4Ad90a158b3753389A3eb8C743EC46f8,17354057028
0x276EC22119aedc41Eb91752AA463Dff68076D482,15931969901
0x23E69BF1ADA63B7EF0d7F453Fa64c61a257b72F1,15000021804
0x54B33FA0824155fe400a862731053d778C0319C2,10728359103
0x74d86E618b768928042484d7F58186858acdEdDA,10511388679
0xc099Bf8d42C103d988E36421dC9a9B413b8125BD,10459146941
0x398073f72cd86Ef626409FBD02f8cB31b4f8c636,10456544829
0xbacc3CC31Bfd472EA5438139D1b922e8F98FE6C2,10260886220
0x0c430B4F2D08b33321ccE26D0cF7547FA9aB1507,10235561799
0x1a07B24dD2db645C705da0547C669049F68b0c2B,10202283938
0xb727FeE36a2DC39a8B4C8c27b70FaFAdf6a47e95,10183028818
0xe9E75a42C37817c2E68d4DD170D6dB8e5860E706,10043818579
0x60B844945a62a4e7F6B9148e5C597e9dAdeC5aCb,10033803214
0x8Bf16200F52E41ec8875D8c9Cebe30722041CaEE,10012724023
0x864e1146643bf2619D344A21d47FfD5Fbea92F75,10010326264
0xAA597459bEc2c0fb5E46EcE0D88Ea1769c8CE124,9980000456
0x8D860cF135fd28d2E5654E7c7F8AB17314138Abf,9959003811
0xA30d34DbeA72f95B333904aDe11C7bC21CFD1e13,9649270372
0xA92162aDE375793230Fc8Dd53E1fBb554BFeb57C,9272269428
0xFF38F0680d0972066ba5D58C626463aa77D39148,8992113966
0x0a03C3B6CEdA829D61A55146e10c89fA7b9769FD,7726050342
0x2cd6cBf97CCFa8FddD49c614Cd8e3ce80131723C,7135848263
0x1b404D76C350cb46F060A4B974597872F348cB1A,7079499496
