HolderAddress,Balance
0x701792A64Cea365a2cBd8e3F2e544654dc3307eF,362248943460
0x9c972D06EcEee9DC08e2d295742D2045F8e54Fa2,327615909284
0x91Eb12839003631e3a1550f0b4B59148bE822dcA,230349740780
0x98D1A5a125B6b2d758028288287E775EED23a449,163248129832
0xE79e911535D5bcA1925ea23F20efC5A3Dbf3d177,121943799676
0x6E5866Ca7787b95E1B00A93D7CA03ba06A481580,100000017817
0x7C5288cc13A8e3b8c14fc51d1dcda3ea6ef3FDc1,80953949843
0x5559f138Ae7ad7743CE075a0D66e1b46cA89Cc0a,53777801361
0xbD5364500c7F09c95Ab07Ec1d8d9eC49e54C33e3,30247551915
0xFe5882bB279538fbcf75fc3F0aC560e43c8a7a64,29796788001
0x497EecF3d54601f71DD776eCb1617C88fF63eD06,25000009889
0xaF2EEfd179893cD22451d60318971Bd01316AF5c,23975188745
0xf3f6b62940e68a49964f2556Fe5094031feF642d,20463371494
0xbacc3CC31Bfd472EA5438139D1b922e8F98FE6C2,20154553383
0x8D860cF135fd28d2E5654E7c7F8AB17314138Abf,18344237221
0xc384F112b84F751bDDc66a4191c27E2b3992226B,15499654569
0xEb2A77971d5A8d3b458b81e7964DE27a2453F84a,15314513944
0x17f399b82f488d2eD876239853b94c4022e6c4aF,13799074281
0x4895726f1d462FF3eA45b1cD820Cce01bFA75bca,11253597985
0x99c8433Fd3bb56ee95fe3508785ae88DF3460322,10878748362
0x2803c2DF4cBFB581b03F5857EBC55c47F549D65A,10332709678
0x50A354f9EDAa453D59FFe1F88096b3B8225E7afE,10000002013
0xc4092Ce291a9E98Ae41a2a7262E4cE5792f45755,9944988534
0x7aB7BA8d27e4fdBC68253d491060B1A029742D90,9763655325
0x481b4AD1B6c3D8F986478eCDa0457cE3a2E13913,9546036285
0x8Bf16200F52E41ec8875D8c9Cebe30722041CaEE,9425341001
0xBea40F828cBc4567e00eeff3FE0C55C2BF043D3a,8740620237
0x755045835783CF9C38A4F5043199A4b81e1cc798,7145583699
0x59aC093738513De45a7CF2AA3F20239AD6F3D85D,5000006181
0x1ffF93c4689fb9DCEedd3C69cC6cAEFAD7Cf7713,5000000106
0x398073f72cd86Ef626409FBD02f8cB31b4f8c636,4906387103
0x4bAeE66DB908153F1113E5599A23C1792d9AE545,4631331727
0xe51A1ba2fF7f44fbfc0BeFE2EBD91164f646A276,4520402101
0x86ee9c710d21ce758924acaf7c16AD5Fe0a634d9,4000017164
0x329f4435E0F22899b733756c71AA12C1004146B1,3983147543
0xbd126Ce92C31c4FBe63E5B1D6bE468843FBb27eD,3800610651
0x99bb609087130aFf0F45B4fF41CC4Ff96eEbA1D8,3608255168
0x57744dA917828c44Dc855D42a46F9281C4988946,3267105920
0x212147bdb0Ff8F3f22C70E4EB21410B949651F54,3255729031
0x661B77b7fC149192ceaf85aBb2321D8233b3C77f,3078272559
0x78Ca925C7e0dD70F07e06d90784E32e388e3029E,3000100285
0x7D02BD1C98933Bae4084295442304930C91644Fc,3000001442
0x86C467338C8eA7B8c1949B51Cd277934947b4880,2944142225
0x86133C621ae2561e3C5B7C9ddBD6eCc12086b271,2940893717
0xeA9c7c1Ef52a9738f5A1585feA708aA8B7294543,2746513310
0x74d86E618b768928042484d7F58186858acdEdDA,2500001701
0xDbA4934ce3B58E0cE97fc780104EA5DEeAD30aCF,2301641712
0x59bb08d6a2Cc18590f78636Db598249e0BefBf99,2199842386
0x24bb3844394a7cf254B470260D73b881b9B4d476,2005144471
0x1C726D2dBC8F55D275e950306dE5Fa61da335a89,1699777227
0x7F911D97f1f8676AeC5c1868f090E83151815938,1501293925
0xD482EDf4918178cbAd9F4c64249933ac35aF24bC,1299560383
0x428928f76904E37bF0Cc96076DFBDA60954a2CEE,1200000852
0x444441E930f1335CB1c50702E0DBdd3B6E1E70B3,1187226412
0x7f739CBF8dAC324a3F87BdaEb0ab58a2D09a0369,1100000024
0x3AE22662b9d97ea0c6b52F15f42A9384fb79f732,1076873180
0xe4c5EB8D89da3c24341A022fdd57b6F03cDF9129,1061297106
0xd545022404246084C6f8E8e8Db36AC4E02726F94,1014183791
0xC5f6E1C3Fe7078A09f3d8D05b0e883d1C22A1489,1009275198
0xF1De2399973AfC71953b248Eb4C280b9ee631544,1004923516
